,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,Shubman Gill (GT),2023-2023,17,17,2,890,129,59.33,564,157.8,3,4,1,85,33
1,F du Plessis (RCB),2023-2023,14,14,1,730,84,56.15,475,153.68,-,8,-,60,36
2,DP Conway (CSK),2023-2023,16,15,2,672,92*,51.69,481,139.7,-,6,1,77,18
3,V Kohli (RCB),2023-2023,14,14,2,639,101*,53.25,457,139.82,2,6,1,65,16
4,YBK Jaiswal (RR),2023-2023,14,14,1,625,124,48.07,382,163.61,1,5,1,82,26
5,SA Yadav (MI),2023-2023,16,16,2,605,103*,43.21,334,181.13,1,5,1,65,28
6,RD Gaikwad (CSK),2023-2023,16,15,1,590,92,42.14,400,147.5,-,4,-,46,30
7,DA Warner (DC),2023-2023,14,14,0,516,86,36.85,392,131.63,-,6,2,69,10
8,RK Singh (KKR),2023-2023,14,14,6,474,67*,59.25,317,149.52,-,4,-,31,29
9,Ishan Kishan (MI),2023-2023,16,15,0,454,75,30.26,318,142.76,-,3,-,54,18
10,C Green (MI),2023-2023,16,16,7,452,100*,50.22,282,160.28,1,2,-,40,22
11,H Klaasen (SRH),2023-2023,12,11,2,448,104,49.77,253,177.07,1,2,-,32,25
12,S Dube (CSK),2023-2023,16,14,3,418,52,38.00,264,158.33,-,3,-,12,35
13,N Rana (KKR),2023-2023,14,14,1,413,75,31.76,293,140.95,-,3,-,39,20
14,MP Stoinis (LSG),2023-2023,15,15,2,408,89*,31.38,272,150.0,-,3,2,28,27
15,VR Iyer (KKR),2023-2023,14,14,0,404,104,28.85,277,145.84,1,2,1,32,21
16,GJ Maxwell (RCB),2023-2023,14,14,2,400,77,33.33,218,183.48,-,5,2,29,31
17,JC Buttler (RR),2023-2023,14,14,0,392,95,28.00,282,139.0,-,4,5,42,14
18,KR Mayers (LSG),2023-2023,13,13,0,379,73,29.15,263,144.1,-,4,2,38,22
19,S Dhawan (PBKS),2023-2023,11,11,2,373,99*,41.44,261,142.91,-,3,1,49,12
20,WP Saha (GT),2023-2023,17,17,1,371,81,23.18,287,129.26,-,2,2,47,8
21,B Sai Sudharsan (GT),2023-2023,8,8,1,362,96,51.71,256,141.4,-,3,-,33,12
22,SV Samson (RR),2023-2023,14,14,2,362,66*,30.16,236,153.38,-,3,2,25,24
23,Prabhsimran Singh (PBKS),2023-2023,14,14,0,358,103,25.57,238,150.42,1,1,2,38,19
24,N Pooran (LSG),2023-2023,15,15,3,358,62,29.83,207,172.94,-,2,2,26,26
25,HH Pandya (GT),2023-2023,16,15,4,346,66,31.45,253,136.75,-,2,-,26,15
26,NT Tilak Varma (MI),2023-2023,11,11,3,343,84*,42.87,209,164.11,-,1,-,26,23
27,RG Sharma (MI),2023-2023,16,16,0,332,65,20.75,250,132.8,-,2,2,35,17
28,AM Rahane (CSK),2023-2023,14,11,1,326,71*,32.60,189,172.48,-,2,-,24,16
29,JM Sharma (PBKS),2023-2023,14,14,1,309,49*,23.76,198,156.06,-,-,1,22,21
30,V Shankar (GT),2023-2023,14,10,2,301,63*,37.62,188,160.1,-,3,-,27,15
31,SO Hetmyer (RR),2023-2023,14,13,5,299,56*,37.37,197,151.77,-,1,-,12,23
32,JJ Roy (KKR),2023-2023,8,8,0,285,61,35.62,188,151.59,-,2,-,36,12
33,AR Patel (DC),2023-2023,14,13,3,283,54,28.30,203,139.4,-,1,-,21,15
34,LS Livingstone (PBKS),2023-2023,9,9,1,279,94,34.87,171,163.15,-,2,-,20,19
35,SM Curran (PBKS),2023-2023,14,13,3,276,55,27.60,203,135.96,-,1,-,20,13
36,KL Rahul (LSG),2023-2023,9,9,1,274,74,34.25,242,113.22,-,2,-,28,4
37,RA Tripathi (SRH),2023-2023,13,13,1,273,74*,22.75,213,128.16,-,1,1,29,10
38,MA Agarwal (SRH),2023-2023,10,10,0,270,83,27.00,210,128.57,-,1,-,29,6
39,D Padikkal (RR),2023-2023,11,11,1,261,52,26.10,200,130.5,-,2,-,31,6
40,DA Miller (GT),2023-2023,16,13,5,259,46,32.37,178,145.5,-,-,1,18,13
41,AK Markram (SRH),2023-2023,13,13,2,248,50,22.54,197,125.88,-,1,1,18,8
42,N Wadhera (MI),2023-2023,14,10,1,241,64,26.77,166,145.18,-,2,1,23,12
43,A Badoni (LSG),2023-2023,15,12,2,238,59*,23.80,172,138.37,-,1,-,13,12
44,TH David (MI),2023-2023,16,15,6,231,45*,25.66,146,158.21,-,-,2,12,15
45,Rahmanullah Gurbaz (KKR),2023-2023,11,11,0,227,81,20.63,170,133.52,-,2,2,17,15
46,AD Russell (KKR),2023-2023,14,14,3,227,42,20.63,156,145.51,-,-,1,13,18
47,Abhishek Sharma (SRH),2023-2023,11,11,0,226,67,20.54,157,143.94,-,2,1,28,6
48,PD Salt (DC),2023-2023,9,9,1,218,87,27.25,133,163.9,-,2,2,24,10
49,RR Rossouw (DC),2023-2023,9,9,2,209,82*,29.85,141,148.22,-,1,2,17,11
50,HC Brook (SRH),2023-2023,11,11,2,190,100*,21.11,154,123.37,1,-,3,23,4
51,RA Jadeja (CSK),2023-2023,16,12,4,190,25*,23.75,133,142.85,-,-,-,11,9
52,KH Pandya (LSG),2023-2023,15,14,4,188,49*,18.80,165,113.93,-,-,3,15,6
53,A Taide (PBKS),2023-2023,7,7,0,186,66,26.57,129,144.18,-,2,1,20,6
54,Abdul Samad (SRH),2023-2023,9,8,4,169,37*,42.25,128,132.03,-,-,-,10,11
55,MK Pandey (DC),2023-2023,10,9,0,160,50,17.77,146,109.58,-,1,2,15,3
56,AT Rayudu (CSK),2023-2023,16,12,2,158,27*,15.80,113,139.82,-,-,1,10,9
57,M Shahrukh Khan (PBKS),2023-2023,14,13,6,156,41*,22.28,94,165.95,-,-,-,13,9
58,DC Jurel (RR),2023-2023,13,11,4,152,34*,21.71,88,172.72,-,-,1,11,9
59,Q de Kock (LSG),2023-2023,4,4,0,143,70,35.75,102,140.19,-,1,-,10,8
60,KD Karthik (RCB),2023-2023,13,13,1,140,30,11.66,104,134.61,-,-,4,13,5
61,Sikandar Raza (PBKS),2023-2023,7,7,2,139,57,27.80,98,141.83,-,1,-,10,6
62,MK Lomror (RCB),2023-2023,12,10,2,135,54*,16.87,97,139.17,-,1,1,9,8
63,Rashid Khan (GT),2023-2023,17,9,5,130,79*,32.50,60,216.66,-,1,2,8,13
64,MR Marsh (DC),2023-2023,9,9,0,128,63,14.22,97,131.95,-,1,2,11,7
65,MM Ali (CSK),2023-2023,15,10,3,124,23,17.71,91,136.26,-,-,-,12,6
66,MW Short (PBKS),2023-2023,6,6,0,117,36,19.50,92,127.17,-,-,-,15,4
67,A Manohar (GT),2023-2023,9,6,0,114,42,19.00,83,137.34,-,-,-,6,7
68,SN Thakur (KKR),2023-2023,11,10,2,113,68,14.12,70,161.42,-,1,2,13,4
69,Aman Hakim Khan (DC),2023-2023,11,9,1,110,51,13.75,101,108.91,-,1,1,7,6
70,PP Shaw (DC),2023-2023,8,8,0,106,54,13.25,85,124.7,-,1,2,16,1
71,Anmolpreet Singh (SRH),2023-2023,4,4,0,105,36,26.25,82,128.04,-,-,-,15,2
72,MS Dhoni (CSK),2023-2023,16,12,8,104,32*,26.00,57,182.45,-,-,1,3,10
73,PN Mankad (LSG),2023-2023,5,5,2,93,64*,31.00,72,129.16,-,1,1,12,2
74,Anuj Rawat (RCB),2023-2023,9,7,4,91,29*,30.33,71,128.16,-,-,-,6,4
75,N Jagadeesan (KKR),2023-2023,6,6,0,89,36,14.83,81,109.87,-,-,1,14,1
76,R Tewatia (GT),2023-2023,17,10,6,87,20*,21.75,57,152.63,-,-,-,3,7
77,DJ Hooda (LSG),2023-2023,12,12,1,84,17,7.63,90,93.33,-,-,-,3,2
78,R Parag (RR),2023-2023,7,7,1,78,20,13.00,66,118.18,-,-,-,4,5
79,Harpreet Singh (PBKS),2023-2023,3,3,0,76,41,25.33,59,128.81,-,-,-,8,3
80,PBB Rajapaksa (PBKS),2023-2023,4,4,1,71,50,23.66,62,114.51,-,1,1,6,2
81,Vivrant Sharma (SRH),2023-2023,3,1,0,69,69,69.00,47,146.8,-,1,-,9,2
82,R Ashwin (RR),2023-2023,13,10,4,67,30,11.16,51,131.37,-,-,2,5,3
83,Lalit Yadav (DC),2023-2023,6,6,1,66,38,13.20,59,111.86,-,-,-,8,0
84,K Gowtham (LSG),2023-2023,7,7,3,61,23,15.25,37,164.86,-,-,-,2,5
85,Washington Sundar (SRH),2023-2023,7,5,1,60,24*,15.00,60,100.0,-,-,-,6,0
86,MG Bracewell (RCB),2023-2023,5,4,2,58,26,29.00,47,123.4,-,-,-,6,1
87,SN Khan (DC),2023-2023,4,4,0,53,30,13.25,62,85.48,-,-,-,4,1
88,Harpreet Brar (PBKS),2023-2023,13,8,2,52,17*,8.66,41,126.82,-,-,1,5,2
89,RV Patel (DC),2023-2023,5,4,1,49,23,16.33,43,113.95,-,-,-,3,1
90,B Kumar (SRH),2023-2023,14,6,3,42,27,14.00,47,89.36,-,-,-,4,0
91,Shahbaz Ahmed (RCB),2023-2023,10,6,2,42,20*,10.50,39,107.69,-,-,-,3,1
92,GD Phillips (SRH),2023-2023,5,5,0,39,25,7.80,22,177.27,-,-,1,2,4
93,M Jansen (SRH),2023-2023,8,6,3,39,17*,13.00,43,90.69,-,-,-,4,0
94,Vishnu Vinod (MI),2023-2023,3,3,0,37,30,12.33,31,119.35,-,-,-,2,2
95,A Nortje (DC),2023-2023,10,7,4,37,23*,12.33,29,127.58,-,-,1,6,0
96,DJ Willey (RCB),2023-2023,4,3,3,35,20*,-,32,109.37,-,-,-,4,0
97,SS Prabhudessai (RCB),2023-2023,5,4,0,35,19,8.75,29,120.68,-,-,1,1,2
98,Abishek Porel (DC),2023-2023,4,4,0,33,20,8.25,31,106.45,-,-,-,1,2
99,PWH de Silva (RCB),2023-2023,8,5,3,33,12*,16.50,28,117.85,-,-,-,3,0
100,Kuldeep Yadav (DC),2023-2023,14,10,8,31,10*,15.50,48,64.58,-,-,2,2,0
101,MD Shanaka (GT),2023-2023,3,3,1,26,17,13.00,26,100.0,-,-,1,2,1
102,T Stubbs (MI),2023-2023,2,2,0,25,20,12.50,31,80.64,-,-,-,2,0
103,PP Chawla (MI),2023-2023,16,4,2,25,18,12.50,22,113.63,-,-,1,1,1
104,HR Shokeen (MI),2023-2023,8,3,2,23,18*,23.00,17,135.29,-,-,-,4,0
105,AS Roy (KKR),2023-2023,4,4,2,23,13*,11.50,19,121.05,-,-,1,3,0
106,AU Rashid (SRH),2023-2023,2,2,0,22,18,11.00,16,137.5,-,-,-,2,1
107,PK Garg (DC),2023-2023,2,2,0,22,12,11.00,23,95.65,-,-,-,1,0
108,D Wiese (KKR),2023-2023,3,3,2,21,12*,21.00,11,190.9,-,-,-,0,3
109,M Markande (SRH),2023-2023,10,3,3,21,18*,-,13,161.53,-,-,-,2,1
110,SP Narine (KKR),2023-2023,14,10,3,21,7*,3.00,25,84.0,-,-,3,2,1
111,R Dhawan (PBKS),2023-2023,6,3,1,20,19,10.00,12,166.66,-,-,-,1,1
112,Ravi Bishnoi (LSG),2023-2023,15,7,4,20,5,6.66,27,74.07,-,-,-,1,0
113,A Mishra (LSG),2023-2023,7,1,0,19,19,19.00,30,63.33,-,-,-,2,0
114,Umran Malik (SRH),2023-2023,8,2,1,19,19*,19.00,8,237.5,-,-,1,1,2
115,UT Yadav (KKR),2023-2023,8,5,3,19,6*,9.50,18,105.55,-,-,-,1,0
116,Arshad Khan (MI),2023-2023,6,3,1,18,15*,9.00,15,120.0,-,-,-,0,1
117,Akash Deep (RCB),2023-2023,2,1,0,17,17,17.00,8,212.5,-,-,-,2,1
118,AJ Hosein (SRH),2023-2023,1,1,1,16,16*,-,10,160.0,-,-,-,1,1
119,P Dubey (DC),2023-2023,1,1,0,16,16,16.00,20,80.0,-,-,-,2,0
120,Naveen-ul-Haq (LSG),2023-2023,8,3,2,16,13,16.00,21,76.19,-,-,-,2,0
121,YV Dhull (DC),2023-2023,4,3,0,16,13,5.33,23,69.56,-,-,-,1,0
122,TA Boult (RR),2023-2023,10,4,3,16,15,16.00,14,114.28,-,-,-,1,1
123,BA Stokes (CSK),2023-2023,2,2,0,15,8,7.50,14,107.14,-,-,-,2,0
124,Mandeep Singh (KKR),2023-2023,3,3,0,14,12,4.66,16,87.5,-,-,1,0,1
125,AS Tendulkar (MI),2023-2023,4,1,0,13,13,13.00,9,144.44,-,-,-,0,1
126,V Vyshak (RCB),2023-2023,7,2,1,13,13*,13.00,9,144.44,-,-,1,0,1
127,KM Jadhav (RCB),2023-2023,2,1,1,12,12*,-,10,120.0,-,-,-,1,0
128,KS Sharma (LSG),2023-2023,2,2,0,12,9,6.00,21,57.14,-,-,-,0,0
129,JO Holder (RR),2023-2023,8,3,1,12,11,6.00,11,109.09,-,-,1,0,1
130,MA Wood (LSG),2023-2023,4,2,1,11,10*,11.00,5,220.0,-,-,-,1,1
131,Sanvir Singh (SRH),2023-2023,2,2,1,11,7,11.00,9,122.22,-,-,-,1,1
132,JE Root (RR),2023-2023,3,1,0,10,10,10.00,15,66.66,-,-,-,1,0
133,M Vohra (LSG),2023-2023,1,1,0,10,10,10.00,11,90.9,-,-,-,1,0
134,A Zampa (RR),2023-2023,6,3,0,10,7,3.33,16,62.5,-,-,-,0,0
135,JD Unadkat (LSG),2023-2023,3,1,0,9,9,9.00,7,128.57,-,-,-,1,0
136,Noor Ahmad (GT),2023-2023,13,3,1,8,7*,4.00,9,88.88,-,-,1,1,0
137,AS Joseph (GT),2023-2023,7,2,2,7,7*,-,12,58.33,-,-,-,1,0
138,R Powell (DC),2023-2023,3,3,0,7,4,2.33,9,77.77,-,-,-,1,0
139,Mukesh Kumar (DC),2023-2023,10,3,3,7,6*,-,9,77.77,-,-,-,0,0
140,K Kartikeya (MI),2023-2023,8,1,0,6,6,6.00,7,85.71,-,-,-,1,0
141,JP Behrendorff (MI),2023-2023,12,2,2,6,3*,-,9,66.66,-,-,-,0,0
142,CJ Jordan (MI),2023-2023,6,2,0,6,4,3.00,12,50.0,-,-,-,0,0
143,HV Patel (RCB),2023-2023,14,2,0,6,6,3.00,6,100.0,-,-,1,0,1
144,Mohammed Shami (GT),2023-2023,17,2,0,5,5,2.50,6,83.33,-,-,1,1,0
145,Litton Das (KKR),2023-2023,1,1,0,4,4,4.00,4,100.0,-,-,-,1,0
146,JC Archer (MI),2023-2023,5,2,2,4,3*,-,4,100.0,-,-,-,0,0
147,C Sakariya (DC),2023-2023,2,2,1,4,4,4.00,6,66.66,-,-,-,1,0
148,KV Sharma (RCB),2023-2023,7,2,0,3,2,1.50,5,60.0,-,-,-,0,0
149,VG Arora (KKR),2023-2023,5,2,2,3,2*,-,2,150.0,-,-,-,0,0
